pmid	pmcid	title	first_author	year	genome_row_count	ast_location	biosample_hint	supplement_files	details
31424550	PMC6798832	Genomic investigation of Staphylococcus aureus recovered from Gambian women and newborns following an oral dose of intra-partum azithromycin	Bojang, A.	2019	65	main_text_and_supplement	yes	Dataset S1; Dataset S3	"Table 1 (""Distribution of STs and macrolide resistance amongst the study population"") is a main-text AST/resistance table; Dataset S1 and S3 in supplement carry additional mutation/transmission data; PRJEB31151 accession present."
31474962	PMC6702299	IS-Mediated Overexpression of the WalKR Two-Component System Regulon Contributes to Reduced Vancomycin Susceptibility in a Clinical Isolate	Kuroda, M.	2019	54	main_text_table	yes	"Table 1 (""Antimicrobial susceptibility of isolates...MIC (μg/mL)"") reports AST data directly in main text; BioSample/BioProject accessions present."	
29487865	PMC5816877	Hospital Epidemiology of Methicillin-Resistant S. aureus in a Tertiary Care Hospital in Moshi, Tanzania, as Determined by Whole Genome Sequencing	Kumburu, H.H.	2018	33	main_text_prose	yes	"AST by disk diffusion (Methods); resistance results narrated in prose (""resistant to cefoxitin...43.3%...""); supplementary material tables referenced are for phylogenetic trees, not AST specifically; PRJEB23314 accession present."	
22238576	PMC3253072	Whole genome characterization of the mechanisms of daptomycin resistance in clinical and laboratory derived isolates of Staphylococcus aureus	Peleg, A.Y.	2012	20	main_text_and_supplement	no	Table S1	Table 1 and Table 2 report per-isolate Dp (daptomycin) and Vn (vancomycin) MIC values directly in main text; Table S1 in supplement lists mutations between susceptible/nonsusceptible pairs.
16569891	PMC1426932	Induction of daptomycin heterogeneous susceptibility in Staphylococcus aureus by exposure to vancomycin	Sakoulas, G.	2006	6	no_fulltext	no		get_full_text_article returned empty text on repeated attempts; abstract confirms vancomycin/daptomycin susceptibility testing was central to the study, but full text/table location could not be located.
29377579		Identical genotypes of community-associated MRSA (ST59) and livestock-associated MRSA (ST9) in humans and pigs in rural China	Bi, Z.	2018	600	no_pmc_record	unclear		No PMCID found via NCBI ID converter — article is not in PMC (paywalled or not deposited). AST location needs manual lookup via publisher site/DOI: (none listed)
35189301		Insights on catheter-related bloodstream infections: a prospective observational study on catheter colonization and multidrug resistance	Pinto, M.	2022	560	no_pmc_record	unclear		No PMCID found via NCBI ID converter — article is not in PMC (paywalled or not deposited). AST location needs manual lookup via publisher site/DOI: (none listed)
35425984		Persistence of a multidrug-resistant worldwide-disseminated MRSE clone harbouring the cfr linezolid resistance gene in a French hospital	Cortes, M.F.	2022	192	no_pmc_record	unclear		No PMCID found via NCBI ID converter — article is not in PMC (paywalled or not deposited). AST location needs manual lookup via publisher site/DOI: 10.1093/jac/dkac119
29723570		Investigation of trimethoprim/sulfamethoxazole resistance in an emerging ST5 MRSA clone reveals discrepant resistance reporting	Harris, T.M.	2018	38	no_pmc_record	unclear		No PMCID found via NCBI ID converter — article is not in PMC (paywalled or not deposited). AST location needs manual lookup via publisher site/DOI: 10.1016/j.cmi.2018.04.020
19769538		Development of reduced vancomycin susceptibility in methicillin-susceptible Staphylococcus aureus	Pillai, S.K.	2009	3	no_pmc_record	unclear		No PMCID found via NCBI ID converter — article is not in PMC (paywalled or not deposited). AST location needs manual lookup via publisher site/DOI: 10.1086/605636
