pmid	pmcid	doi	title	first_author	year	genome_id_count	ast_location	biosample_hint	supplement_files	supplement_downloaded	details
29229636	PMC5786761	10.1128/AAC.02000-17	Topical Antibiotic Use Coselects for the Carriage of Mobile Genetic Elements Conferring Resistance to Unrelated Antimicrobials in Staphylococcus aureus	Carter GP	2018	99	supplement	yes	supp_62_2_e02000-17__index.html;AAC.02000-17_zac002186908s1.xlsx;AAC.02000-17_zac002186908s2.pdf	0	AST keyword hits: resistance×51, resistant×28, susceptible×6, susceptibility×3.
24787619	PMC4040999	10.1093/gbe/evu092	Dissecting vancomycin-intermediate resistance in staphylococcus aureus using genome-wide association	Alam MT	2014	70	main_text_and_supplement	no	supp_6_5_1174__index.html;supp_evu092_Supplementary_Figures.doc;supp_evu092_Supplementary_Tables.doc	0	AST keyword hits: resistance×52, intermediate×34, etest×33, resistant×27.
35756053	PMC9226621	10.3389/fmicb.2022.804627	One Day in Denmark: Comparison of Phenotypic and Genotypic Antimicrobial Susceptibility Testing in Bacterial Isolates From Clinical Settings	Rebelo AR	2022	68	main_text_and_supplement	yes	Table_1.XLSX;Table_2.XLSX;Table_3.XLSX	0	AST keyword hits: resistance×60, susceptibility×42, mic×24, susceptible×23.
31424550	PMC6798832	10.1093/jac/dkz341	Genomic investigation of Staphylococcus aureus recovered from Gambian women and newborns following an oral dose of intra-partum azithromycin	Bojang A	2019	65	main_text_and_supplement	yes	dkz341_supplementary_data.zip	0	AST keyword hits: resistance×51, resistant×16, susceptible×10, susceptibility×9.
28704546	PMC5509299	10.1371/journal.pone.0181072	Epidemiology of Staphylococcus aureus in a burn unit of a tertiary care center in Ghana	Amissah NA	2017	64	main_text_and_supplement	no	pone.0181072.s001.xlsx	0	AST keyword hits: resistant×25, resistance×16, susceptibility×8, eucast×3.
34589061	PMC8473885	10.3389/fmicb.2021.661798	Global Expansion of Linezolid-Resistant Coagulase-Negative Staphylococci	Gostev V	2021	47	main_text_and_supplement	yes	Data_Sheet_1.PDF;Data_Sheet_2.PDF;Data_Sheet_3.PDF;Table_1.XLSX;Table_2.XLSX;Table_3.XLSX;Table_4.XLSX	0	AST keyword hits: resistance×87, resistant×76, susceptibility×19, susceptible×12.
23158674	PMC3556525	10.1016/S1473-3099(12)70268-2	Whole-genome sequencing for analysis of an outbreak of meticillin-resistant Staphylococcus aureus: a descriptive study	Harris SR	2013	45	supplement	no	mmc1.pdf	0	AST keyword hits: resistant×15, antibiogram×8, susceptibility×8, disk diffusion×1.
33293382	PMC7733948	10.1128/mBio.02882-20	Comprehensive Genomic Investigation of Adaptive Mutations Driving the Low-Level Oxacillin Resistance Phenotype in Staphylococcus aureus	Giulieri SG	2020	44	main_text_and_supplement	yes	mBio.02882-20-sf001.pdf;https://creativecommons.org/licenses/by/4.0/;https://creativecommons.org/licenses/by/4.0/;mBio.02882-20-st001.xlsx;https://creativecommons.org/licenses/by/4.0/;https://creativecommons.org/licenses/by/4.0/;mBio.02882-20-st002.xlsx;https://creativecommons.org/licenses/by/4.0/;https://creativecommons.org/licenses/by/4.0/;mBio.02882-20-sf002.pdf;https://creativecommons.org/licenses/by/4.0/;https://creativecommons.org/licenses/by/4.0/;mBio.02882-20-sf003.pdf;https://creativecommons.org/licenses/by/4.0/;https://creativecommons.org/licenses/by/4.0/;mBio.02882-20-st003.xlsx;https://creativecommons.org/licenses/by/4.0/;https://creativecommons.org/licenses/by/4.0/;mBio.02882-20-sf004.pdf;https://creativecommons.org/licenses/by/4.0/;https://creativecommons.org/licenses/by/4.0/;mBio.02882-20-sf005.pdf;https://creativecommons.org/licenses/by/4.0/;https://creativecommons.org/licenses/by/4.0/;mBio.02882-20-s0001.pdf;https://creativecommons.org/licenses/by/4.0/;https://creativecommons.org/licenses/by/4.0/;mBio.02882-20-st004.xlsx;https://creativecommons.org/licenses/by/4.0/;https://creativecommons.org/licenses/by/4.0/	0	AST keyword hits: resistance×97, mic×61, resistant×34, mics×14.
35189301		10.1016/j.jhin.2022.01.025	Insights on catheter-related bloodstream infections: a prospective observational study on the catheter colonization and multidrug resistance	Pinto M	2022	40	no_pmc_record	unclear		0	No PMCID — not deposited in PMC (or paywalled). Needs manual lookup.
30988144	PMC6535555	10.1128/AAC.02607-18	A Novel, Widespread qacA Allele Results in Reduced Chlorhexidine Susceptibility in Staphylococcus epidermidis	Addetia A	2019	38	main_text_prose	no		0	AST keyword hits: mic×11, susceptibility×4, resistance×2, mics×1.
29487865	PMC5816877	10.1155/2018/2087693	Hospital Epidemiology of Methicillin-Resistant Staphylococcus aureus in a Tertiary Care Hospital in Moshi, Tanzania, as Determined by Whole Genome Sequencing	Kumburu HH	2018	32	main_text_and_supplement	yes	2087693.f1.docx;2087693.f2.docx;2087693.f3.docx;2087693.f4.docx	0	AST keyword hits: resistant×21, resistance×18, susceptibility×4, susceptible×4.
31996449	PMC7098754	10.1128/JCM.02038-19	Difficult-To-Detect Staphylococcus aureus: mecA-Positive Isolates Associated with Oxacillin and Cefoxitin False-Susceptible Results	Gargis AS	2020	30	main_text_prose	no		0	AST keyword hits: susceptible×2, susceptibility×1, resistance×1.
25733508	PMC4394801	10.1128/AAC.04990-14	Heterogeneity of genetic pathways toward daptomycin nonsusceptibility in Staphylococcus aureus determined by adjunctive antibiotics	Berti AD	2015	27	main_text_prose	no		0	AST keyword hits: resistance×1, resistant×1, susceptibility×1, mic×1.
29377579		10.1111/zph.12443	Identical genotypes of community-associated MRSA (ST59) and livestock-associated MRSA (ST9) in humans and pigs in rural China	Bi Z	2018	20	no_pmc_record	unclear		0	No PMCID — not deposited in PMC (or paywalled). Needs manual lookup.
29723570		10.1016/j.cmi.2018.04.020	Investigation of trimethoprim/sulfamethoxazole resistance in an emerging sequence type 5 methicillin-resistant Staphylococcus aureus clone reveals discrepant resistance reporting	Harris TM	2018	16	no_pmc_record	unclear		0	No PMCID — not deposited in PMC (or paywalled). Needs manual lookup.
35425984		10.1093/jac/dkac119	Persistence of a multidrug-resistant worldwide-disseminated methicillin-resistant Staphylococcus epidermidis clone harbouring the cfr linezolid resistance gene in a French hospital with evidence of interspecies transfer to several Staphylococcus aureus lineages	Côrtes MF	2022	16	no_pmc_record	unclear		0	No PMCID — not deposited in PMC (or paywalled). Needs manual lookup.
22238576	PMC3253072	10.1371/journal.pone.0028316	Whole genome characterization of the mechanisms of daptomycin resistance in clinical and laboratory derived isolates of Staphylococcus aureus	Peleg AY	2012	10	main_text_and_supplement	no	pone.0028316.s001.ppt;pone.0028316.s002.doc;pone.0028316.s003.docx	0	AST keyword hits: susceptibility×28, resistance×26, susceptible×18, resistant×11.
16569891	PMC1426932	10.1128/AAC.50.4.1581-1585.2006	Induction of daptomycin heterogeneous susceptibility in Staphylococcus aureus by exposure to vancomycin	Sakoulas G	2006	3	main_text_prose	no		0	AST keyword hits: susceptibility×3, resistance×1, resistant×1, intermediate×1.
31474962	PMC6702299	10.3389/fmicb.2019.01882	IS256-Mediated Overexpression of the WalKR Two-Component System Regulon Contributes to Reduced Vancomycin Susceptibility in a Staphylococcus aureus Clinical Isolate	Kuroda M	2019	3	main_text_and_supplement	yes	Table_1.XLSX;Table_2.XLSX;Table_3.XLSX	0	AST keyword hits: susceptibility×44, resistance×30, resistant×23, mic×17.
19769538		10.1086/605636	Development of reduced vancomycin susceptibility in methicillin-susceptible Staphylococcus aureus	Pillai SK	2009	1	no_pmc_record	unclear		0	No PMCID — not deposited in PMC (or paywalled). Needs manual lookup.
